beneficiary_id,aadhaar,name,state,district,subsidy_type,amount,income,distributor_id,claim_date
ec230db0-4562-4537-98fa-671339f9c9d6,225159675584,Upadhriti Kamdar,Rajasthan,Darbhanga,Fertilizer Subsidy,48738.46,925457.62,DIST-1993,2025-08-25
fae276c7-02d7-4f88-ac94-e590a87ca09c,175545687808,Ronith Sarna,Odisha,Rewa,PMAY,47674.29,842262.46,DIST-7840,2025-10-19
78e95c14-1737-4208-b912-fe7d892ddd65,643014954531,Ekapad Dhingra,Sikkim,Haldia,MGNREGA,7178.79,554244.61,DIST-900,2025-11-01
0a4750e3-5576-4354-9421-75e881080c48,919494542763,Watika Srivastava,Rajasthan,Avadi,PMAY,20382.82,980853.59,DIST-9815,2025-03-17
fb20c525-f5b2-488a-8d96-8080a551b383,377251399454,Yasti Lala,Gujarat,Gorakhpur,LPG Subsidy,42672.8,185207.65,DIST-8897,2025-03-17
f657eeb2-f145-4c9f-8a4d-204fd8697e02,310046232472,Liam Thakur,Meghalaya,Thiruvananthapuram,MGNREGA,15037.5,299316.54,DIST-9829,2025-10-06
b1eb3d7f-12f2-4edf-bc3a-ea6976b19142,739645178230,Chanakya Kibe,Mizoram,Gudivada,PMAY,49819.65,889752.17,DIST-1221,2025-10-03
fd119ef9-08b4-4468-9a8e-61170b9bb2e0,205926670543,Teerth Bhatti,Manipur,Machilipatnam,PM-KISAN,8591.78,241375.39,DIST-5643,2025-09-06
a8af972c-8f42-43bc-a39a-f6ad78278f96,748583141472,Yahvi Chad,Odisha,Chinsurah,Fertilizer Subsidy,9131.47,794751.02,DIST-5404,2025-05-08
0116a51a-3e93-4c18-b626-c7e4ee2bd75f,802709199386,Chakradev Raju,Punjab,Bhalswa Jahangir Pur,PMAY,27146.11,812308.55,DIST-6690,2025-09-09
08493b89-8cbc-467d-bba5-66ee9ac1802e,936693650266,Gopal Shankar,Manipur,Junagadh,MGNREGA,44432.29,560416.58,DIST-4035,2026-02-03
7c9d02a5-4558-4986-81ff-f7d8dd2f7139,467451080058,Aradhana Nanda,Maharashtra,Pimpri-Chinchwad,LPG Subsidy,33191.55,286567.88,DIST-9616,2025-10-26
9a6ab429-7b56-4943-a56a-d3be5b79cee5,915511540885,Vinaya Mangal,Sikkim,Pali,PM-KISAN,48152.57,965436.55,DIST-3894,2025-10-12
03843f91-9af1-455c-9a47-03ddd19129d5,736247197839,Jyoti Khosla,Arunachal Pradesh,Raurkela Industrial Township,Fertilizer Subsidy,28422.07,596119.04,DIST-5498,2025-07-07
05436c3a-3932-4b5d-bb69-d2d221a8e5c1,118099913786,Mohammed Nath,Goa,Berhampore,PMAY,45763.72,715931.06,DIST-7232,2025-03-29
1c53a65e-7abc-4318-9670-7b0e685e21eb,286827273120,Girik Dada,Haryana,Jaipur,Fertilizer Subsidy,12987.56,466328.42,DIST-7469,2025-08-16
ecec7019-14d7-4f68-bad0-c9db4c5a21e4,787815120812,Vrinda Barman,Rajasthan,Khora ,MGNREGA,24685.96,624025.28,DIST-5601,2025-10-08
a1d0fad0-8394-41ee-a025-12e9fc480dcc,834189121896,Yashica Kapadia,Assam,Ghaziabad,PMAY,31979.22,242483.16,DIST-1699,2025-05-28
19117999-70d6-43fb-8477-835238f95e34,837296224726,Joshua Biswas,Punjab,Shimla,MGNREGA,13654.42,608004.28,DIST-2394,2025-06-10
90462d1e-a1e8-4368-b006-802543c24a05,672944461880,Vidhi Bala,Jharkhand,Nellore,Fertilizer Subsidy,110320.01,1561933.54,DIST-9735,2025-11-26
1c8ef11b-83a8-440d-a123-7a9e70e3fba6,263137656593,Bachittar Saraf,Tripura,Sagar,PM-KISAN,17793.04,672862.38,DIST-408,2025-05-08
d8d00fc6-c466-49ae-99a2-86d1fe474790,292082286165,Lavanya More,Mizoram,Udupi,PMAY,102388.25,2024387.22,DIST-4923,2025-03-23
ccfe46d9-dc5c-4166-8e47-839847b24d30,353932731012,Ladli Ben,Haryana,Anantapur,LPG Subsidy,23067.76,912657.36,DIST-2030,2025-04-10
f6dba435-2fed-4844-9ea0-a0dd8e0546d7,696174568731,Parth Grewal,Rajasthan,Gurgaon,PM-KISAN,44420.42,690129.56,DIST-5183,2025-12-31
9173ac25-72db-4a54-81d9-1e4deec2fd03,353219859420,Akshay Bhavsar,Tripura,Avadi,Fertilizer Subsidy,26839.85,474301.74,DIST-511,2025-12-04
9e68e190-ad6a-447e-b101-ffa26f8182e8,786805710578,Tanveer Murty,Sikkim,Ramagundam,Fertilizer Subsidy,137425.3,3687360.45,DIST-9534,2025-03-24
d2d0ba81-bf07-44e4-b3d0-b4f58f46b55b,486847297950,Harini Batta,Chhattisgarh,Bardhaman,MGNREGA,16647.98,216318.03,FRAUD-DIST-6517,2026-01-21
00fae89c-0b51-4663-a0ba-78f8e5c2de24,789107081568,Warhi Sane,Uttar Pradesh,Kalyan-Dombivli,Fertilizer Subsidy,11906.86,126460.18,DIST-9967,2025-04-17
53cdb42b-92f7-4de0-9872-aa40393d700b,301220536949,Laksh Randhawa,Meghalaya,Mehsana,PM-KISAN,25031.82,946742.83,DIST-1203,2025-07-18
52275d9b-62a5-41e2-88a3-f4e0a158aa03,147740581618,Vihaan Gour,West Bengal,Gopalpur,PM-KISAN,14477.7,359904.45,DIST-7075,2026-02-07
25b2c229-5cd7-4c48-8d8b-c0bab88bddf9,167720496161,Anya Deep,Gujarat,Orai,MGNREGA,17215.03,248706.99,DIST-7669,2025-12-18
6be2784a-6d40-463f-b4b0-82209e8a3d2b,277429040356,Tanmayi Raja,West Bengal,Pondicherry,Fertilizer Subsidy,85289.85,3945810.55,DIST-7256,2025-08-03
874b5342-a9ae-4c47-9883-58d5a8bf628e,211372531482,Mugdha Sharma,Tamil Nadu,Bhatpara,MGNREGA,9600.78,103341.19,FRAUD-DIST-6517,2026-01-21
c23d83e3-fb31-4d2c-a318-9a2664d81604,766466187933,Sanaya Bhalla,Mizoram,Jaipur,PMAY,39952.55,495563.82,DIST-7251,2025-10-24
2083cfc0-80cb-46d0-bbec-daa515b3b8f9,873778599686,Gaurika Jhaveri,Rajasthan,Khandwa,Fertilizer Subsidy,20399.42,165984.8,DIST-5581,2025-03-19
9b360ca0-eb6b-4952-8eac-85d13dea5075,752309254382,Dalbir Ahuja,Punjab,Varanasi,PM-KISAN,49253.92,521189.53,DIST-930,2025-08-31
d5f762b9-4d7d-421f-9238-b1c402a9264b,311278498219,Harinakshi Bandi,Sikkim,Guwahati,MGNREGA,34994.29,572385.45,DIST-2285,2025-09-04
2fb3dbf3-e08a-46e6-a8b1-52c2c79147d9,743540157595,Falak Radhakrishnan,Gujarat,Motihari,LPG Subsidy,48673.79,531503.8,DIST-538,2025-10-01
00bb0216-fec8-496b-a10f-0c0a6bd05dbf,210180889614,Peter Raj,Maharashtra,Guna,LPG Subsidy,28641.32,923738.53,DIST-6494,2025-04-25
45ae3314-01a4-45c6-b15e-0e5c3fd2b493,151503445623,Charles Parmar,Karnataka,Hyderabad,MGNREGA,36956.41,673883.7,DIST-1782,2025-12-26
9af9f057-1d08-4081-a234-00267d6c1284,249789777342,Panini Panchal,Himachal Pradesh,Khammam,PM-KISAN,48403.38,678707.44,DIST-9043,2025-10-10
de5e1223-5c82-4a64-a26b-42190caf4e0a,430242227620,Nitesh Dewan,Nagaland,Orai,Fertilizer Subsidy,47280.04,897585.54,DIST-7498,2025-07-18
998937ac-142d-423a-9f8e-26db9f2af01a,595719427666,Dayamai Dhingra,Sikkim,Bhilai,LPG Subsidy,15897.55,927917.29,DIST-6478,2025-11-10
34edd522-e274-4748-8fd2-ecea296b6f62,658683229036,David Barad,Sikkim,Panchkula,MGNREGA,6039.46,236769.18,DIST-6530,2025-06-02
2369c8ec-9dd8-4f2c-aa82-d6de9ad13d82,727317272270,Faqid Narain,Karnataka,Ahmedabad,PMAY,46710.91,970357.96,DIST-2519,2025-03-14
4f49a8d2-70c0-4db2-b86a-9694f1c7256a,677910489789,Lakshmi Dar,Uttarakhand,Amritsar,MGNREGA,42064.96,391662.84,DIST-6561,2026-01-03
665620fb-4868-4220-a795-96143da41940,662666869208,Ekapad Kala,Uttarakhand,Gandhinagar,PM-KISAN,41834.36,940178.63,DIST-3486,2025-02-17
3e76d591-f8ee-4bb6-9abb-5465d96338f4,233443118929,Bhavika Shere,Karnataka,Raiganj,MGNREGA,19524.75,691017.09,DIST-4506,2026-02-11
955d1d76-53f2-4000-8bde-e54b78fe5f93,645135679785,Wakeeta Thaman,Meghalaya,Coimbatore,LPG Subsidy,41500.18,85408.72,DIST-2201,2026-02-10
5b344ce1-d1b0-4901-beb3-2402d9ba332b,560365437545,Chakrika Chopra,Jharkhand,Pallavaram,LPG Subsidy,14804.69,650506.56,DIST-9467,2025-05-01
af851bee-9d12-4eb5-96ca-39488bb443d8,582966821826,Veda Mukherjee,Uttarakhand,Jehanabad,PM-KISAN,45517.54,678010.19,DIST-5585,2025-11-08
c008e3dd-72b2-4668-9629-29e845f66665,478630653210,Raagini Behl,Tripura,Amritsar,MGNREGA,14242.81,294370.46,DIST-2676,2025-11-22
4d52a5df-7174-4dff-9b1b-32474ce1396d,628256804784,Dalaja Krishnan,Andhra Pradesh,Baranagar,LPG Subsidy,32692.67,373215.35,DIST-1670,2025-09-08
6c7a08c5-cdcb-4924-bacc-baef1b6235c9,414178564175,Mohini Biswas,Madhya Pradesh,Secunderabad,Fertilizer Subsidy,42904.35,700214.97,DIST-1505,2025-04-04
d5b657a6-c4bc-4ce8-8e6c-ba607c95b594,462477585602,Widisha Manda,Telangana,Jodhpur,MGNREGA,27014.73,599879.3,DIST-6182,2025-08-07
2060c437-c6b4-4268-a596-36e95284cf33,205602896988,Manan Doshi,Rajasthan,Amravati,PM-KISAN,4926.52,408352.47,DIST-4078,2025-12-15
4e4244dd-b9e6-4c7a-bc7a-874be6dd3c14,322752506090,Zashil Sarma,West Bengal,Tirupati,LPG Subsidy,3377.4,878223.16,DIST-9572,2025-10-28
d6a2c939-f24b-460c-b88d-f4ad84aaabf3,954456698407,Oviya Brar,Tripura,Barasat,MGNREGA,9518.66,122744.88,DIST-3993,2025-10-06
52da5f18-427e-4c86-a255-17a961b59df3,788996673714,Eshana Nayar,Sikkim,Junagadh,LPG Subsidy,32836.8,749325.2,DIST-3521,2025-04-18
4ac9bfa9-abbc-489f-a9e3-2b464a4f6159,554589982743,Ayaan Prasad,Uttarakhand,Erode,PM-KISAN,32099.15,424374.07,DIST-7368,2025-04-02
91ab8d2d-a151-4f87-835b-1ba10f8e8bc6,725888997754,Girish Bhasin,Nagaland,Bhilwara,LPG Subsidy,37809.88,153264.54,DIST-690,2026-01-12
2d1897ed-5356-4fbc-962a-3a7c84b5b4d4,217825279715,Farhan Shan,Bihar,Bardhaman,PM-KISAN,21631.32,202179.18,DIST-881,2025-08-27
6bc37a10-a81a-4896-8441-2a23c021b52e,587213736419,Mekhala Trivedi,Kerala,Dehradun,PMAY,9097.91,103589.57,FRAUD-DIST-6517,2026-01-21
ca1e34fb-cc11-4688-979c-b108e02406c6,735419481918,Aditya Srinivasan,Manipur,Srikakulam,PMAY,12906.22,291580.4,FRAUD-DIST-6517,2026-01-21
33958968-6669-496c-8248-ff340fcca8e3,559192823343,Edhitha Kakar,Mizoram,Ichalkaranji,LPG Subsidy,37827.93,499843.19,DIST-9384,2025-12-09
f8d6f820-7f3e-4272-8200-c005229fe38c,584428478030,Mitali Dhar,Kerala,Saharanpur,PMAY,49536.35,469809.58,DIST-9412,2026-01-26
fd815134-9556-45dd-8abb-eef0aab50fdb,179561849613,Vedant Aggarwal,Uttarakhand,Panvel,LPG Subsidy,45271.12,66603.01,DIST-6802,2025-07-29
089aa54b-2697-4f6b-a2c8-e6a021b310b8,207127610047,Bhavna Prashad,Punjab,Gudivada,Fertilizer Subsidy,44669.55,661617.43,DIST-3285,2025-12-20
4d846029-97ec-4702-86bd-c6c0f1317070,239399902111,Radha Parmar,West Bengal,Jorhat,PMAY,33496.96,604694.15,DIST-5130,2025-02-25
9459c003-1b67-45e8-bc86-e75ddd5b2c0a,749577715224,Chavvi Ahluwalia,Uttar Pradesh,Berhampore,PM-KISAN,28274.66,552184.76,DIST-7507,2026-01-09
d27278cf-fa66-4b35-b141-af233069b2b5,502428247809,Balhaar Walla,Bihar,Khandwa,LPG Subsidy,14160.92,509026.6,DIST-1002,2026-01-06
7c3ad660-81c7-43d5-827c-ca077fcecc1b,467028029643,Bhavna Wable,Sikkim,Tenali,PM-KISAN,45551.75,948234.69,DIST-7376,2025-12-26
5c5eb53d-9649-4f20-86f6-40ed3d855c97,160313731804,Yauvani Borde,Chhattisgarh,Bhalswa Jahangir Pur,PMAY,41660.77,790443.17,DIST-2124,2025-05-23
e8f006b0-8348-4b4e-a960-070d42187264,950144541692,Bhavini Raghavan,Karnataka,Bahraich,PM-KISAN,48142.51,376810.1,DIST-2248,2025-03-25
90e32e51-36b0-4d52-9a20-2400469edb6b,840469445651,Anthony Sengupta,Uttar Pradesh,Raurkela Industrial Township,Fertilizer Subsidy,7861.99,143368.94,FRAUD-DIST-6517,2026-01-21
c6721fbe-d60d-4e9f-b965-792af4c921bd,618530533274,Kashvi Buch,Goa,Bhilai,Fertilizer Subsidy,27391.04,993634.51,DIST-9770,2025-05-14
660884a7-06bc-4782-a7bb-570ffd6f3aa7,606799122664,Sachi Deol,West Bengal,Erode,PMAY,19957.91,428362.48,DIST-9100,2025-06-22
d67dbbea-58ec-41bb-b686-74af85c0393c,862495764727,Lakshit Wable,Rajasthan,Junagadh,MGNREGA,33205.75,382826.82,DIST-4964,2025-04-10
16c86fca-9c3c-4207-9ee1-27cda44a60ec,421143186280,Ojasvi Singh,Bihar,Dhule,MGNREGA,9462.63,351052.47,DIST-8836,2025-02-19
9ed54ab1-85d5-48d3-960b-b6c4d49c70b4,943014611324,Nitara Walia,West Bengal,Bhind,PMAY,19760.31,753536.29,DIST-2355,2025-04-24
20a97965-32cb-4a22-bed6-f2a3608e0d6b,188885278576,Matthew Nigam,Assam,Navi Mumbai,PMAY,49780.24,984876.91,DIST-2898,2025-12-24
f5d881de-794b-490b-a5be-5b8ba573bebf,675232313827,Bahadurjit Gokhale,Odisha,Arrah,LPG Subsidy,30184.81,332844.25,DIST-620,2025-07-31
de696339-09bb-4580-ad06-d5ce58840328,201028777658,Victor Kannan,Goa,Sambhal,Fertilizer Subsidy,29254.55,942832.81,DIST-2494,2026-01-31
4902165f-a76b-4f99-97e4-bf1009219056,489778925104,Kamala Choudhury,Uttarakhand,Gwalior,MGNREGA,36925.81,318188.5,DIST-5157,2025-03-25
